subQ,,,,,,,
how would you characterize this persons alcohol problem?,"so i ask you, general public, would you call my husbands drinking problems ""alcoholism"", or what would you call it?",,,,,,
mentally addicted to alcohol but not phsyically addicted?,,,,,,,
support for mothers who have had their child removed from their care due to alcohol addiction?,i just wondered if anyone could relate to the shame and guilt one feels for doing so and then having to accept responsibility for the consequences. ,,,,,,
how can i help my alcoholic uncle?,,,,,,,
how do i accept others drinking when my mother is an alcoholic?,what can i do to be more comfortable with him drinking and realize that not everyone who drinks alcohol is going to cause me the pain my mother did? ,,,,,,
could i develop alcoholism?,,,,,,,
how long does it take your body to recover from alcohol abuse?,,,,,,,
"does pot make people more stupid than alcohol, or is the effects about the same?",what drunk have you ever seen act intelligent?,why do people get addicted to this doing these things?,is it like a competition with friends to see who can act dumber?,"why do some stoners claim it doesnt make them dumber, isnt that just dumb?",why would someone want to do drugs to escape reality?,,
"im 20, female, bulimic, alcoholic, drug abuser and contemplating suicide?",,,,,,,
ive done weed and alcohol before and i want like the next thing like one that wont **** up my life and i wont get addicted to out of shrooms salvia and lsd what should i do.,,,,,,,
or does it make me just a teenager who just really likes to get drunk because hes bored and enjoyes being drunk?,"so, am i an alcoholic?",,,,,,
and how many would it take a 15 year old to get drunk so i dont go over the top becaue i drink at lunch then go back to school,,,,,,,
should parents teach responsible drug/alcohol use?,,,,,,,
my friend is addicted to alcohol and cocaine?,"if hes 25 now, what do you think his life expectancy is if he doesnt quit. ",,,,,,
can you give me some advice on drugs and alcohol?,how can i control myself!,,,,,,
what reasons can you suggest for teenagers choosing to take marijuana over alcohol or cigarettes?,,,,,,,
whats the difference between alcoholic and drunkaholic?,,,,,,,
do you feel that alcohol is the answer to get over a break up?,do you guys and girls feel thats the best way to get over somebody.,,,,,,
im just curious guys as to what the high on heroin is like in comparison with alcohol.,,,,,,,
"im dating an alcoholic and i dont want to be a co-dependent or an enabler. i want whats best for him, help.?",,,,,,,
why do people separate drugs from alcohol when alcohol is a drug?,,,,,,,
"my boyfriend is an out of work alcoholic, should i stay with him?","has anyone got any suggestions for me on how i could improve my life, i would be so grateful. ",,,,,,
my mom is an alcoholic. please someone tell me what to do?,,,,,,,
tips on working with teenagers who are addicted to drugs and alcohol?,i am a substance abuse counselor and would like information on what would be some ways to help adolesants deal with the reasons they would use drugs and alcohol. ,,,,,,
should i leave my alcoholic/addict boyfriend?,,,,,,,
how can someone be an alcoholic but not have it be maladaptive?,,,,,,,
are these mind games my alcoholic ex is playing?,"i am trying to do what is right for me and my kids, but how do i know i am making the right decisions for them, when he is telling me he will be a fantastic husband and dad but i have to let him back in because that is the only way i will see?",,,,,,
is sectioning an alcohol possible?,,,,,,,
why do i gain a lot of weight after drinking a moderate amount of alcohol?,,,,,,,
"help, to much calories in alcohol made me fat!?","whats the best and quickest way to loose this beer belly, and surrounding fat",,,,,,
i want to know if anyone else has ever been to aa back in the 1990s or 1980s?,,,,,,,
i have an alcoholic boyfriend and i dont know what to do anymore?,and now i am choosing to live this life w/my bf.? :( its hard & i no longer know what to do.,,,,,,
should there be an alcoholics anonymous for r/s addiction  minus the god emphasis of course.?,,,,,,,
can a person drink alcohol after recovery for an unrelated drug additction?,,,,,,,
what do you do when a depressed alcoholic reaches out to you?,,,,,,,
which causes less brain damage over time benzodiazepines or alcohol?,,,,,,,
"serious help, 14 years old and smoking/alcohol abuse!?",,,,,,,
have you gone to an alcoholics anonymous group?,,,,,,,
"my dad is addicted to drugs/alcohol and wont go to rehab, what do i do?",,,,,,,
"i feel sick when drunk and out of alcohol, but not when im drunk and still have it.?",,,,,,,
what is my exact situation when it comes to alcohol?,i have though am i addicted?,do i just have a really strong craving to beer or is it the alcohol?,i love to drink pale ale but i have wondered exactly what is addiction?,,,,
"is it possible to become physically addicted to alcohol, but not be an alcoholic?",,,,,,,
i need advice from other wives who have lived with alcoholic/addicted husbands. we have been married 30 years?,,,,,,,
i dont enjoy anything without alcohol?,,,,,,,
what can i say to my alcoholic boyfriend that will let him know he needs to choose between me or the alcohol?,,,,,,,
cannabis (weed) vs. alcohol?,,,,,,,
working with drug addicts and alcoholics?,is there a job i can go to college for that involves working to help/understand drug addicts and alcoholics?,,,,,,
my ex is an attorney and active alcoholic in complete denial. we share a son. what should i do?,"is there anything i can do, even though i have many witnesses with his alcohol abuse or is it still just my word against his?",he can pull so many of his lawyer strings how can i fight him?,,,,,
how can i raise my confidence without alcohol consumption?,,,,,,,
whats up with college students and alcohol?,,,,,,,
my mom is an alcoholic?,,,,,,,
please!what happens when taking lorezapam with alcohol?,,,,,,,
why do people feel they need to drink alcohol do the endorphins get dependant on alcohol?,,,,,,,
mixing oxycotton and alcohol?,what does alcohol + snorting drugs do to you? ,,,,,,
when can i take xanax after drinking alcohol?,how long after the last drink do i have to wait to take more xanax? ,,,,,,
how do illegal drugs and alcohol affect those with bipolar with psychosis?,how would the alcohol and drugs affect someone with bipolar with psychsis? ,,,,,,
why do people think alcohol and drugs are bad?,,,,,,,
alcoholic advice or help?,why is my will power not enough to kill it?,im at my wits end why wont this relationship i have with booze go away?,,,,,
can you burn your mouth/tongue from alcohol?,,,,,,,
have you never had a beverage that contains alcohol?,"why have you never drank alcohol, given its prevalence and acceptance in american culture?","how has this decision affected your life, for good, for bad?",,,,,
do you know of people who say they dont take drugs or alcohol but take?,"is this not the worst kind of addict,one who doesnt acknowledge he is one? ",,,,,,
is my brother addicted to alcohol ?,,,,,,,
what is the treatment for alcohol and drugs?,,,,,,,
how do you tell if someone is an alcoholic or alcohol addict?,,,,,,,
alcohol use and serotonin levels?,is it possible that a depressed person could raise serotonin levels by increased alcohol use?,,,,,,
would i be considered an alcoholic ?,,,,,,,
does this mean im addicted to alcohol hahahaha?,,,,,,,
"if an alcoholic is a person who is addicted to alcohol, what ........?",,,,,,,
is alcoholism really a disease?,,,,,,,
can someone abuse alcohol while still being unaddicted to it?,,,,,,,
liver cleansed alcohol?,"if i had a good session or two over christmas , ( full bottle binge a couple of times ) will the liver be cleansed by first week in feb.",,,,,,
how much alcohol is addicting?,can i be addicted to it?,,,,,,
why are people alcoholics ?,i am 15 and i recently lost my dad and he was a alcoholic and i was just wondering why people become alcoholics and how do they become alcoholics ?,,,,,,
"which is worse, energy drinks or alcohol?",are energy drinks worse or are there just more people addicted to alcohol? ,,,,,,
wait one minute - can someone explain why we let the occupation with the highest rate of alcohol abuse?,"is it really some ""puzzle"" as to why alcohol remains tolerable in the laws eyes?",would it similarly be a great idea to let the muslims set us terrorist policy now?,,,,,
what the chance of becoming an alcoholic?,,,,,,,
is addiction to food/drug/alcohol ever seen in domestic pets?,,,,,,,
what will a mix of drups & alcohol really do?,can a person really die if he/she mixes alcohol with drugs.,,,,,,
whats the best way to get alcohol off of your breath?,,,,,,,
themes of alcoholism: how does it really feel to be an alcoholic?,how does it really feel to be an alcoholic?,are you or have you been an alcoholic?,how would you describe feeling as an alcoholic?,"if you were to describe to someone how it was to live in the shoes of an alcoholic, what would you say?","what factors drove you to alcoholism, or how did you become an alcoholic?",,
why are cigarettes and alcohol legal?,,,,,,,
do this sound like alcoholism?,,,,,,,
did diana ross also have a cocain habit on top of alcoholism during her years with motown?,,,,,,,
what are the of alcohol symptoms with withdrawal how long do they last?,,,,,,,
"true or false, alcohol is considered a drug?",,,,,,,
what make an alcoholic become alcoholic?,"if you are an alcoholic, or if you have been one, would you share what make you become so addicted to alcohol beverage?",,,,,,
how can i stop drinking alcohol?,what can i do to stop drinking?,,,,,,
how can you tell if youre becoming an alcoholic?,,,,,,,
how can i tell if im addicted to alcohol?,,,,,,,
what zodiac sign is the most alcohol abuser?,,,,,,,
shouldnt alcohol be illegal?,,,,,,,
"parents, would you ever give your 16 year old alcohol ?",,,,,,,
why is marijuana illegal if alcohol is legal?,,,,,,,
"how to write thesis statement for problem among teenagers such as drug addict,pregnancy,drunk alcohol,gambling?",,,,,,,
which type of professional should a drug addict and a alcoholic see?,,,,,,,
is an addict and an alcoholic the same thing?,,,,,,,
"can someone be addicted to drinking (not alcohol, any liquid)?","i know there are some strange addictions out there, like eating toilet paper and soap (lol) but have you ever heard of someone who just always has to have a drink by their side, always drinking?",,,,,,
college paper about alcohol?,so how would i subject it so that it sounds like a college essay.,,,,,,
are there any medical conditions that can be passed onto children born from drug & alcohol abusive parents?,,,,,,,
i need some information on alcohol addiction for my book...?,,,,,,,
which is worse smoking pot or drinking alcohol?,,,,,,,
"do u think religious addicts,""religoholics"", should seek treatment like other addicts- drug, alcohol, gambling?",,,,,,,
what is the reason when a person start drinking alcohol for the first time and become addicted ultimately.?,,,,,,,
describe the short-term and potential long-term effects of alcohol on the body?,,,,,,,
"help me, is he an alcohol addict?",,,,,,,
i hate alcohol and dont know what to do!?,,,,,,,
can someone who has been addicted to alcohol for years and is refusing serious therapy be healthy again?,,,,,,,
teen alcohol consumption?,,,,,,,
"i think i am addicted to alcohol at 17, what can i do to get help?",,,,,,,
"how much do americans spend on drugs, alcohol, and tobacco each year?",,,,,,,
who is more of an alcoholic?,,,,,,,
why is marijuana illegal but alcohol is?,,,,,,,
how come people always say alcohol is addicting?,,,,,,,
"my friends become an alcoholic, how do i help her ?",how do i make her see she does need help without her hating me ? ,,,,,,
"isnt alcoholism, drug abuse just a frame of mind, and the cure changing that frame of mind?",,,,,,,
can smoking meth and drinking alcohol pregnant cause eye issues after my daughter is born?,,,,,,,
my bestfriend is getting involved in smoking and alcohol at age 13! help?,can this hurt her even though she claims to do it rarely? ,can she become addicted to nicotine or have an addiction to alcohol when she grows up?,how can i stop her without her yelling at me and running away?,,,,
i have an alcohol problem?,i just want to know how long it will take to detox at home off the beer.,,,,,,
how do i deal with my alcoholic mother?,,,,,,,
do you think that gay and lesbian and bisexual people are more likely to become an alcoholic?,"if that is the case, then why do you think that lesbian, gay, and bisexual people are more likely to become an alcoholic people that are addicted to drinking beverages that contain alcohol? ",,,,,,
"why is it when times get tough people lean towards relying on smoking, alcohol, eating disorders, self harm?",,,,,,,
why do people drink alcohol?,,,,,,,
why is alcohol/cigarettes legal and weed illegal?,"i know alcohol being illegal would never happen, but why cant weed be legal?",,,,,,
should alcoholics and drug addicts be eligible for social security disability?,,,,,,,
does marijuana cause brain damage like alcohol does?,,,,,,,
"why is marijuana illegal, while alcohol and tobacco isnt?",,,,,,,
"weed, cigarettes and alcohol what should be illegal and what should be legal?",,,,,,,
what is worse for your body marajuana or alcohol?,,,,,,,
would i become an alcoholic if i were to drink alcohol?,,,,,,,
questions about alcohol?,,,,,,,
song about someone who is addicted to drugs/alcohol?,can you help me find a song that would describe my situation.,,,,,,
conservatives: how can you support alcohol being legal while opposing the legalization of marijuana?,,,,,,,
can you please complete my survey i need people aged 12-18 2 answer a few qs on alcohol + drugs..?,,,,,,,
am i an alcoholic at 15?,am i addicted to alcohol? ,,,,,,
"hey, what was the name of that movie about alcohol that (read below)?",,,,,,,
why do people resort to alcohol?,why do people become addicted/start drinking alcohol? ,,,,,,
am i addicted to alcohol?,could this be an addiction?,,,,,,
is my girlfriend an alcoholic?,,,,,,,
which is worse weed or alcohol?,,,,,,,
am i becoming an alcoholic....?,,,,,,,
why is alcohol better than marijuana?,,,,,,,
"underage alcohol withdrawal,dont quite know what the f*** to do?",,,,,,,
am i already addicted to alcohol?,,,,,,,
novel writing help: drugs/alcohol?,,,,,,,
do you think im addicted to alcohol?,,,,,,,
is there any way i can get him to be normal again?,,,,,,,
do you think alcohol & drug abuse are more common among richer or poorer teens?,,,,,,,
"does alcoholics anonymous really work, or is it a bunch of crap?",is it a cult or is it religious dogma?,how many people stop drinking on their own anyway? ,,,,,
would you consider this an alcohol problem?,,,,,,,
what is worse heroin or alcohol?,,,,,,,
"legality aside, do you believe consuming alcohol is safer than consuming marijuana?","additional details to jen, can you please provide me some proof that smoking marijuana has more carcinogens than smoking cigarettes?",,,,,,
"how to volunteer at places that help drug and alcohol addicts in twin cities, minnesota area?",,,,,,,
are my parnets addicted to alcohol?,,,,,,,
"my mums an alcoholic, does that mean i will be?",,,,,,,
how to explain addiction and alcoholism to young children?,,,,,,,
why isnt marijuana legal... its safer than alcohol?,,,,,,,
do you think i am an alcoholic?,,,,,,,
can alcoholics be taught to drink safely?,,,,,,,
"my mom is a drug addict and alcoholic. she has been to rehab, sober-living, etc. many times. what do i do?",,,,,,,
how much do drug and alcohol counselers make?,,,,,,,
"do u drink beer, wine or anything alcoholic?",,,,,,,
what makes people resort to alcohol?,,,,,,,
why does the smell of alcohol make me sick?,,,,,,,
what happens if you mix sleeping pills and alcohol?,,,,,,,
i think my sister might be an alcoholic?,what are some signs of an alcoholic? ,,,,,,
are there any online chat rooms for alcohol addiction?,can anyone please direct me to a site or something where i can talk to other alocholics or someone that can help me online? ,,,,,,
im not an alcoholic but i want to give up alcohol 100% is there a group or community that is right for me?,is there a group or community that could be right for me?,,,,,,
how do i get my mom addicted to alcohol?,,,,,,,
which is worst  cocaine/heroin or tobacco/alcohol ?,,,,,,,
can a person that has been rehabilitated from a drug or alcohol addiction.....?,,,,,,,
alcohol: psychic addiction or substance addiction?,when you are addicted to alcohol is a psychic addiction or is a substance addiction like nicotine?,,,,,,
am i an alcoholic?,,,,,,,
are there any forum sites or websites dedicated to the children of drug and alcohol addicted parents?,,,,,,,
what is the best way to get rid of alcoholism?,,,,,,,
poll: true or false - you have tried alcohol before?,,,,,,,
would you let your 16 year old child drink alcohol?,,,,,,,
am 21yrz old...am a marijuana addict.i love alcohol n when i get my pay i waste it all on drinks.i started must?,,,,,,,
if alcohol is so fattening why are most alcoholics so thin?,,,,,,,
can mikes hard lemonade get you addicted to alcohol?,,,,,,,
how to make a person stop drinking.,,,,,,,
addicted to alcohol?,,,,,,,
is it possible to become addicted to being drunk...not alcohol?,,,,,,,
how can i give up alcohol?,,,,,,,
how young is to young to drink alcohol?,,,,,,,
is my friend an alcoholic?,,,,,,,
what happens when you get caught buying alcohol underage?,"what happens when you ask someone outside of lcbo to buy you alcohol, and then they buy it for you, but then after you realize that the police were watching the entire time, and then they stop you?",,,,,,
have you ever known an alcoholic to quit drinking completely?,,,,,,,
"my wife want to go disco but im alcoholic.i cant dance souber, what should i do ",,,,,,,
what works of poes literature reflect/were influenced on his alcohol (or drug) problem?,,,,,,,
what can i do about an alcoholic father who refuses to attend aa meetings and is physically addicted?,,,,,,,
what is a non-alcoholic substitute for beer?,can one of you yahooites suggest a tastes like these beer but doesnt have alcohol in it?,,,,,,
can i get a scholarship for having a parent who had drug and alcohol abuse problems?,,,,,,,
what should i do with my alcoholic father ?,does anybody have any smart suggestions ?,,,,,,
was one of the worst mistakes in your life thinking weed or alcohol was cool when you were young?,,,,,,,
when people are in rehab or recovering from drugs/alcohol or whatever do they crave candy more?,,,,,,,
is alcoholism hereditary?,"his father (my grandfather) was an alcoholic, and my dads been one for quite some time, is it possible i am too?",is it possible to have an addiction even if i can only get my hands on alcohol maybe 1-3 times a year? ,,,,,
how do you help someone addicted to drugs and alcohol?,,,,,,,
what can i do with my dad that is addicted to drink alcohol?,,,,,,,
"when a recovering alcoholic has a drink, will he instantly get addicted again?",,,,,,,
how do i help an alcoholic boyfriend?,,,,,,,
how harmful is cocaine in relation to alcohol and tobacco?,how harmful is cocaine in relation to alcohol and tobacco,,,,,,
why cant people understand that weed is not as harmful as cigarettes and alcohol?,it has been scientifically proven that alcohol and cigarettes are worse for you than weed so why do people complain so much and why are they so against it?,is it simply because of propaganda?,,,,,
questions about cigarettes and alcohol?,what are in cigarettes?,why does the body get addicted to them?,,,,,
is alcohol good for health?,"every one knows that alcohol is harmful but many persons says that, alcohol is goods for health if we consume in a limit is it true? ",,,,,,
do you know of any drug/alcohol addicted rock bands that got better once sober?,,,,,,,
"why do people drink alcohol ,,,if it is a ""depressant and makes you depressed?",,,,,,,
what can i do to help my dad with alcoholism?,,,,,,,
why the christians drink alcohol?,,,,,,,
could i become an alcoholic?,,,,,,,
are there any support groups for thoes living with drug and alcohol addicted people?,,,,,,,
addicted to monster drinks after alcohol! please help!!!!?,what can i do to help him? ,,,,,,
ladies: what is your favorite girly drink/ alcoholic beverage?,,,,,,,
what is worse drugs or alcohol ?,,,,,,,
is alcohol completely banned in islam?,"is alcohol just banned, or is getting drunk/addicted to it banned?",,,,,,
do you think im an alcoholic?,how often do you drink?,,,,,,
what are the penalties of alcoholism and child abuse in washington state?,"if a father has an alcohol addiction and is a violent drunk, what would the penalties be for abuse of his children (particularly a child with a mental disability)?",,,,,,
effects of drugs and alcohol 5 days on please help?,would you say these effects are normal though?,,,,,,
"should religious addicts get treatment & go to rehab like other addicts- drug, alcohol, gambling, sex, etc...?",,,,,,,
if a court orders someone to stop drinking alcohol and they obey were they ever an alcoholic ?,,,,,,,
do you think alcoholics are more prone to be gifted?,,,,,,,
is marijuana is illegal than why isnt alcohol ?,,,,,,,
how to help an alcoholic?,,,,,,,
do people who are addicted to alcohol randomly have the sweats?,,,,,,,
can a drug & alcohol counselor know if your under the influence?,,,,,,,
alcohol and me am i an alcoholic after not even drinking much?,,,,,,,
"if betty ford died at the old age of 93, was her alcohol/drug addiction very mild...?",,,,,,,
is milk is the gateway drug to alcohol?,,,,,,,
is it ok for christians to drink alcohol?,,,,,,,
do i have an alcohol problem *teen*?,,,,,,,
how can i help my mom with her addiction to alcohol and pills?,,,,,,,
why do ppl get addicted to alcohol?,,,,,,,
what r some side effects of alcohol ?,like hard liquor and beer will i develop any health problems im 16 if that matters,,,,,,
am i an alcoholic or binge drinker?,,,,,,,
how many people think sex addiction is a disease like alcoholism?,,,,,,,
why are cigarettes no longer allowed to have fun flavors but alcoholic is?,,,,,,,
"which of these is the greatest problem in our society psychoactive drugs, tobacco or alcohol?","tobacco, alcohol or psychoactive drugs, which is the greatest in our society and why?",,,,,,
do you drink alcohol or did you ever drink alcohol?,,,,,,,
"i want to write article in newspaper about "" alcohol and substance abuse"". please help me to write this articl?",,,,,,,
"christians: if a depressed friend asks you for alcohol, should you give it to him?",,,,,,,
is casey anthony addicted to drugs and alcohol?,,,,,,,
who is more likely to become alcoholic the social drinker or t-totaller?,,,,,,,
how do you know if you are addicted to alcohol?,,,,,,,
im an alcoholic and addict. im in recovery and i am having intense cravings. please help. any suggestions?,,,,,,,
how to deal with a alcoholic dad?,,,,,,,
am i an alcoholic i dont care about anything.?,,,,,,,
is my mother an alcoholic?,,,,,,,
what would you do if alcohol and tobacco became illegal?,,,,,,,
am i an alcoholic do i need help?,am i an alcoholic?,or do you think i am normal like anybody else keeping the factor that i never had a temptation to have alcohol for 3 months? ,,,,,
how to help my friends get back on track and quit alcohol/drugs.?,,,,,,,
am i addicted to alcohol?,should i be worried that i am becoming too reliant on it for a good time?,,,,,,
what are intoxicating effects of alcohol?,,,,,,,
do you think this is a lot of alcohol?,is this a lot or am i just really lightweight?,,,,,,
can alcohol lower the vitamins you need?,,,,,,,
"aged 21- alcohol predicament, advice?",or have you had bad experiences with alcohol and dont want to drink anymore?,,,,,,
"i used to be an alcoholic. im clean now, but i terribly miss my old life. why!?",why do i miss being such a self-destructive person?,,,,,,
why does it feel like i cant function without beer/alcohol ?,,,,,,,
wtf is up with my dads alcohol tolerance?,"when i start driinking, will i be like him?",,,,,,
can chewing gum make vision weak beacuse of its sugar alcohol?,,,,,,,
how can you possibly get addicted to alcohol its naaasty!?,,,,,,,
"in which way u view drug abuse,rash driving,consuming alcohol,smoking and how they can be prevented?",,,,,,,
why do people go into drug and alcohol counselling?,do people who were never drug addicts go into the career?,,,,,,
14 and addicted to alcohol/drugs?,,,,,,,
can someone tell me if im going through alcohol withdrawal kind of long but please tell me?,,,,,,,
is it true that after drinking beer or alcohol..that it takes a while to build natural endorphins again?,,,,,,,
help! alcohol! rum possibly addicted!?,how fast can you get addicted? and how much silver 47% alcohol rum can get me drunk?,,,,,,
"help me, i do not want to become an alcohol addict!?",my parents used to be alcohol addicts.. is it hereditary at all? ,,,,,,
i lost most of my family to drugs and alcohol?,what is the best way to deal with this issue.,,,,,,
rehab centers for drug & alcohol addiction?,,,,,,,
"if alcoholism runs in your family, is it a good idea to drink alcohol?",im 15 right now and i havent ever had alcohol before and i dont plan on it before i turn 19 (the legal drinking age in my province) but should i even drink at all?,is it safe for me to even drink this amount without risking getting addicted? ,,,,,
17 and dependent on alcohol and drugs. help!?,,,,,,,
is there a problem with alcohol if you sneak drink after drink into your home?,,,,,,,
how can parents have a kids thats an alcoholic if they never drank?,,,,,,,
anyone here married to/or divorced to an alcohol or drug addict?,,,,,,,
how often smoking or drinking before someone is addicted to nicotine or alcohol ?,,,,,,,
alcohol : probably about health?,will a small intake as to be a small cup of a fruit-fermented wine affect us and make us get addicted to it?,how long the metabolism takes to make that alcohol doesnt exist in my body anymore? ,,,,,
why does drinking alcohol feel pleasant?,,,,,,,
alcohol health risk issue?,,,,,,,
effects of alcohol after gastric bypass?,,,,,,,
"why do most people need friends, boyfriend/girlfriend, drugs, or alcohol to have a good time?","is it because most people are needy, weak, and dependent on others or substances as crutches?",why cant more people be self-sufficient instead of being dependent on the shackles of substances or other humans that only hold you back from your full potential?,,,,,
my husband is an alcoholic. his whole family is alcoholics.?,how can i get him to change or to just leave us alone?,,,,,,
"is my rejection towards alcohol and drugs ""normal""?",,,,,,,
does one actually feel better if dont drink alcohol ?,why do people pay so much money for alcohol if true?,,,,,,
"christian mother, alcoholic father -- whos the real villain?",,,,,,,
i understand alcohol is haraam in islam. is it acceptable if one takes a medication that contains alcohol?,is it acceptable if one takes a medication that contains alcohol?,"is it acceptable if one takes a medication that contains alcohol, when one is ill?",,,,,
should an alcoholic or addict ever marry anyone or get involved in a relationship?,,,,,,,
wife of alcoholic needs help!?,,,,,,,
my sister is an abusive alcoholic?,,,,,,,
should you : quit smoking suddenly or should you quit smoking gradually (same with drugs and alcohol)?,,,,,,,
why am i addicted to alcohol?,,,,,,,
im addicted to alcohol?,,,,,,,
"is this guy just a ""drunk"" or an alcoholic?",,,,,,,
can i become a nurse with two misdemeanors one for drugs the other for alcohol for?,,,,,,,
for those of you familiar with going to rehab for drugs or alcohol: what else could amy whitehouse have done?,,,,,,,
is alcohol physically addicting?,,,,,,,
alcohol addicted people please reply?,,,,,,,
am i going through serious alcohol withdrawal?,,,,,,,
minors drinking alcohol on holidays?,,,,,,,
should i drink alcohol for the first time?,or will i regret this and get addicted or anything? ,,,,,,
my mom is an alcoholic and its ruining my life!?,how can i get her to calm down with the drinking?,,,,,,
im afraid to drink anything with alcohol?,do you think id have enough control over myself? ,,,,,,
can you inherit alcoholism?,"if you have family who are/were alcoholics, can you actually have it genetically passed on? ",,,,,,
