q_new,q_old,ans_old,label
is alcohol more damaging to the body than illegal drugs such as cocaine?,amy winehouse+ is it true that she never died from illegal drugs but alcohol the legal drug preffered by?,firstly+ this is more of a rant than a question. secondly+ odds are youre either one of those people that just love to be against the rules for the sake of it+ or youre a drug addict. finally+ the list of side effects may be longer+ but the majority are far less fatal han lets say .... cocaine?,0
is alcohol more damaging to the body than illegal drugs such as cocaine?,amy winehouse+ is it true that she never died from illegal drugs but alcohol the legal drug preffered by?,five times over the legal drink drive limit+ she tried very hard+ mind you she had plenty of practice.2,0
is alcohol more damaging to the body than illegal drugs such as cocaine?,i hate drug additcts addicted to heavy drugs that make pot smokers look bad nd alcohol needs to be illegal ?,i know what you mean. casual pot smokers get put in the pot(lol) with the people that try anything and everything just to get high. doesnt help the case that it isnt a gateway drug. alcohol shouldnt be illegal+ just make all drugs legal then there wouldnt be crack and dirty needles. which are the real killers.,0
is alcohol more damaging to the body than illegal drugs such as cocaine?,i hate drug additcts addicted to heavy drugs that make pot smokers look bad nd alcohol needs to be illegal ?,whats the question? are you smoking pot now?0,0
is alcohol abuse genetic?,alcohol abuse poster?,"discourage teens to drink? do you get a lot of wedgies in school? besides+ its not illegal in most states for \minors\"" to consume alcohol. personally+ i think responsibly parents should introduce alcohol to their teens at home responsible as an accompaniment to good food.""",0
is alcohol abuse genetic?,alcohol abuse poster?,i hate to be the bearer of bad news but youll never discourage teens from drinking alcohol. and why would you? alcohol+ like most things+ is absolutely fine in moderation.1,0
is alcohol abuse genetic?,alcohol abuse question?,cirrhosis of the liver,0
is alcohol abuse genetic?,alcohol abuse question?,none,0
is alcohol abuse genetic?,alcoholic or alcohol abuse?,drinking age is 21+ not 18...you are an alcoholic....and its not a good road to be going down at the young age of 18. . your ex-boyfriend was smart...get help now before its too late.,0
is alcohol abuse genetic?,alcoholic or alcohol abuse?,there is no such a thing as an alcoholic! excessive drinking is a symptom of other issues and if you have a problem you can stop on your own!http://www.orange-papers.org/ https://rational.org/index.php?id=10,0
is alcohol abuse genetic?,alcohol abuse (help me)?,"big congratulations at staying sober for 4 months! it is one hell of an achievement but dont forget how it was (so as not to go back there!) anger and confusion can pose a big risk of relapse. i would say \cheer up!\"" but of course you need the tools to do this. speak to a doctor about being referred to a specialist in this area. its a brave thing to ask for help and get some counselling and advice. also+ there are groups such as aa and smart which i would advise you look into. it always helps to be able to talk to people who have the same problem. research them and whatever other groups you may have in your area+ try them out and talk to the people there! find what works for you. if you can stay off the poison for 4 months then you can do it forever+ but its easier with support. good luck! edit- as advised above+ a residential treatment facility would be a very good idea and may change your life. big problems need big solutions. go for it and learn to enjoy life!""",0
is alcohol abuse genetic?,alcohol abuse (help me)?,youre over the hump but you should talk to a professional to help with your attitude. you have come a long way so go a little further.1,0
if one of your parents was an alcoholic+ would you be more likely to be one?,he does drugs and is an alcoholic+ will i be like him if i date him.?,there is a possibility that his lifestyle will rub off on you. the greater damage is how long will you be able to pull him along? weed + alcohol + anger issues? not the pick of the litter despite the feelings you have developed for him. it is more wise to learn who a person is+ whats going on in their life+ what has went on in their life before you connect emotionally with that person. after the connection is established it is much harder to break despite them being a negative part of the relationship. god bless+ j,0
if one of your parents was an alcoholic+ would you be more likely to be one?,he does drugs and is an alcoholic+ will i be like him if i date him.?,none,0
if one of your parents was an alcoholic+ would you be more likely to be one?,if my dad was an alcoholic will i become one?,"life is in your hands and up to you. the statistics of parent-child ratios of how often there is a trend of a child becoming an alcoholic who have parents that were alcoholics is telling... but the data comes after the action... the action does not come after hearing of the data. it is up to you. my parents drank regularly. they werent alcoholics+ but i always hated alcohol as a kid+ and i got to try a few sips and hated it. when i was 25 i roomed-in with roommates. the house was always filled with people+ even pretty girls. for two years i literally locked myself in my room on the nights of partying. i would browse the web+ tell myself repeatedly that im \too good\"" or \""cooler\"" than them... one night it just clicked. i realized the use of alcohol+ tried it+ partied hard+ and was hooked. i did end up like my parents+ and far worse+ even though i hated alcohol as a youngster and didnt drink it until i was 25. nonetheless it is wholly up to you where you end up in life. everything has a first time and there are plenty of alcoholics that didnt have alcoholic parents.""",1
if one of your parents was an alcoholic+ would you be more likely to be one?,if my dad was an alcoholic will i become one?,thats completely up to you5,1
if one of your parents was an alcoholic+ would you be more likely to be one?,i wanted to just have some alcohol one night with my friends+ would that be bad for me if im 13.  i dont plan to like do it all the time or would i get addicted to it?,you should do it. its fine. everybody has to experince it. doesnt matter what age,0
if one of your parents was an alcoholic+ would you be more likely to be one?,i wanted to just have some alcohol one night with my friends+ would that be bad for me if im 13.  i dont plan to like do it all the time or would i get addicted to it?,yes its bad and illegal2,0
if one of your parents was an alcoholic+ would you be more likely to be one?,parents+ would you ever give your 16 year old alcohol ?,"no+ i wouldnt give either of the girls any alcohol. my niece is the product of parents that are both alcoholics and her mom is an addict. my husband is a recovering alcoholic. i dont think it is in the best interest of either girl to expose them to alcohol. now+ when i was that age+ i did drink and i have a few \drunk dials\"" under my belt. some things we just cant take back. i would give your son her message<semcol> what he does with the info is up to him. i have a feeling the girl would like to apologize.""",0
if one of your parents was an alcoholic+ would you be more likely to be one?,parents+ would you ever give your 16 year old alcohol ?,yes+ i give my under 16s alcohol. occasionally+ and a small amount. id never give them enough to get even fractionally tipsy. im struggling with one glass of coke with a bit of rum in getting anyone tipsy+ im afraid. someones being economical with the truth. why would i care what the drinking laws are in texas? i live in england.6,0
and how long do you think it would take to become addicted?,alcohol abuse+ how long does it take to become addicted?,"yes it sounds like it has you hooked. it is more than likely affecting your lifestyle and relationships. if you have to drink the longer you do it the harder its going to be to stop. if you go get some help they will probably give you some valuem or similar to help you stop. just dont do both at the same time you may black out. get some help if you cant slow down do you want to be known as \the drunk\"" or \""that drunk\"" it can ruin your life""",1
and how long do you think it would take to become addicted?,alcohol abuse+ how long does it take to become addicted?,none,0
and how long do you think it would take to become addicted?,how long does it take to leave my system?,none,0
and how long do you think it would take to become addicted?,how long for alcohol to go?,yea+ alcohol is usually gone in about 24 hours. youre thin but one beer shouldnt stay very long.,0
and how long do you think it would take to become addicted?,how long for alcohol to go?,i think - yes. 12 hours usually enough for one beer. in 24 hours it goes off completely.0,0
why do people support the abolition of tobacco but not alcohol?,why is weed illegal if tobacco and alcohol is ok?,tobacco and cigarettes are stimulants+ they increase productivity+ they improve your memory+ the problem is addiction and other health hazard like the tar build up in the lungs+ not to mention cancerous substances. alcohol is the worst legal drug thats out there. violent drunks are found everyday. in russia several hundred thousands die of alcohol abuse directly or indirectly every year. weed is illegal because its also hypnotic and a downer+ it reduces workers productivity. nations economy will suffer greatly if weed is legalized.,1
why do people support the abolition of tobacco but not alcohol?,why is weed illegal if tobacco and alcohol is ok?,pot is only to get stoned with+ tobacco doesnt do that+ and most people dont drink to inebriation (i know this is hard for youngsters to understand). pot is also an hallucinogen. but the primary reason is this is a democracy+ and the people dont want pot legal for general usage.3,0
why do people support the abolition of tobacco but not alcohol?,why isnt added sugar regulated like tobacco or alcohol?,none,0
why do people support the abolition of tobacco but not alcohol?,if alcohol and tobacco are legal why isnt marijuana .?,"it is obvious marijuana will become legal in most states over the next several years -- eventually all states will cave in given time. the movement has started and will be hard to stop. if i only enjoyed marijuana+ oh well -- im happy for all the millions who do. this is an age old argument and it has no logical answer. it is simply a result of our failed \war on drugs\"" policy that started+ i believe+ with president nixon 42 years ago. when we criminalized all recreational drugs+ and then stiffened and created harsh penalties for the use+ possession+ etc of these substances. most of which are safer than alcohol and tobacco on the body. over the 80s and 90s and even 2000 to present these drug laws have become more and more punitive in nature (strict+ overly punitive) despite the obvious growing disdain for our continued effort in this expensive war on \""drugs\"" while we are in dire trouble with our national debt+ spending+ social security+ and on and on. people are beginning to not blindly follow the government quite as much as they did in the 70s+ 80s and 90s - 00s -- further generation x and y are growing up -- and while not in most federal elected positions+ are closing in -- and certainly can vote. the younger generation with some of americas general disapproval for concentration on something like a war on drugs when we have much bigger problems is causing a paradigm shift. marijuana+ imo+ has already broken the threshold to be legalized in the near future in the us+ and as such be developed+ taxed and so forth as alcohol and tobacco are. i only hope that our war on drugs will follow suit and it wont just be adding marijuana to the legal list and still punishing people for prescription pills and other invasion of personal civil liberties of non violence. again back to your question - marijuana is well on its way. now lets apply this question to other substances.. alcohol is more destructive than just about every drug out there.. aside from perhaps crystal meth -- if drugs were+ as a whole+ decriminalized -- the cartels and black markets would lose their market -- you could get them legally+ and the taboo which creates a mystique of temptation to try and take them will be severely diminished. it will just be another product in the store like+ alcohol and tobacco. i think many people will be surprised at what people would do over the long term if all major substances were in gas stations and other stores of pharmaceutical quality+ required age of 21 but otherwise legal. people arent going to suddenly stop working and go out shooting heroin and cocaine because it is no longer a felony -- a lot of people really+ honestly+ think this type of behavior would happen if we ended our war on drugs -- that people would go crazy and everyone would start doing hard core drugs. the law is a deterrent+ but trust me -- when people want to try something they generally do it regardless of the law when it comes to ingesting a substance. those who are addicts will become so regardless. i feel we have our hands over our eyes and ears and are saying the same mantra over and over of hard on drugs+ and other bs politics that accomplishes nothing. frustrating it is+..""",0
why do people support the abolition of tobacco but not alcohol?,if alcohol and tobacco are legal why isnt marijuana .?,because marijuana is deceptively dangerous and contains more harmful toxins and more harmful effects that have long term consequences. just because something is natural doesnt mean its good for you.2,0
why do people support the abolition of tobacco but not alcohol?,tobacco and alcohol are legal for adults+ but marijuana isnt why is that?,"because hemp was a threat to the cotton barons... and because back when it was still legal+ it was seen as something that \non-whites\"" used and affiliated with latinos and blacks and so there was an extreme racist component to it that was exploited by those that wanted to get the hemp part banned+ too. ? the history channel - hooked: illegal drugs and how they got that way http://topdocumentaryfilms.com/illegal-d    ? grass the history of marijuana [1999] http://topdocumentaryfilms.com/grass/ <edit> 343guiltyspark has no idea what theyre talking about. </edit> ? legal history of cannabis in the united states https://en.wikipedia.org/wiki/legal_hist    regulations and restrictions on the sale of cannabis sativa as a drug began as early as 1619. increased restrictions and labeling of cannabis as a poison began in many states from 1906 onward+ and outright prohibitions began in the 1920s. by the mid-1930s cannabis was regulated as a drug in every state+ including 35 states that adopted the uniform state narcotic drug act. in 1973 president richard nixons \""reorganization plan number two\"" proposed the creation of a single federal agency to enforce federal drug laws and congress accepted the proposal+ as there was concern regarding the growing availability of drugs. as a result+ on july 1+ 1973+ the bureau of narcotics and dangerous drugs (bndd) and the office of drug abuse law enforcement (odale) merged to create the drug enforcement administration (dea). on december 1+ 1975+ the supreme court ruled that it was \""not cruel or unusual for ohio to sentence someone to 20 years for having or selling cannabis.\""""",0
why do people support the abolition of tobacco but not alcohol?,tobacco and alcohol are legal for adults+ but marijuana isnt why is that?,prison is business+ security hurts the right people here.4,0
why is there no effort to suppress or abolish its use?,why are some prone to drug and alcohol abuse?,"i have learned that a person becomes dependent on alcohol and drugs for various reasons. and let me cite some of them. 1. peer pressure. every one wants to feel a sense of belongingness. if an individual became part of a group where everyone uses drugs+ he will+ might as well+ try drinking alcohol and using drugs. and as time passes by+ while hanging out with his so-called friends+ he will eventually be dependent on these substances. 2. to ease burdens. and so we thought.. those who become drug-dependent think that using illegal drugs will help them ease their burdens and some would think that these are solutions to their problems.. later would they know that these will lead to worse ones. 3. as stimulants. there are drugs used for \fighting\"" depression. and those who become dependents of these stimulants are often depressed and thought the only way to fight depression is through the use of drugs and drinking alcohol. yes+ i believe that being mentally strong+ as well as emotionally stable and spiritually healthy+ will keep you away from being alcoholic and a drug addict. and i also believe that it is our choice if we become this kind of person. if you dont want to die young+ as soon as today+ stay away from using drugs and avoid drinking too hard..""",0
why is there no effort to suppress or abolish its use?,why are some prone to drug and alcohol abuse?,some people like to work hard and party hard.0,0
why is there no effort to suppress or abolish its use?,why do i have the desire to do drugs and alcohol?,some people say its natural to want to alter your consciousness. people have drank and did drugs since the beginning of time. if i were you i would smoke weed and do nothing else. or maybe drink ever once in awhile,0
why is there no effort to suppress or abolish its use?,why do i have the desire to do drugs and alcohol?,please dont try them+ it will only get worse! try getting involved in something that will make you fell better about your self like helping out at the food bank or salvation army+ there are lots of things.0,0
why is there no effort to suppress or abolish its use?,its a proven fact that marijuana is nothing more then a healthy herb that can cure many diseases including cancer there is nothing unhealthy about it besides the smoke causing lung dammage its a natural plant from the earth so why do some people have hate toards people who smoke weed but at the same time in there eyes alcohol is something ok to do when alcohol is something people shouldnt do it hurts people u can harm other people while drunk and start fights and stuff and kill people black out destroy ur liver and all this when weed does none of this and at the same time having many benefits i mean its even socially acceptable to give children occasionally on certain holidays some whine or something on christmas or thanks giving.,why do dumb potheads always ask this when they know the answer? alcohol has been around for forever as a celabratory thing. weed has been around forever as well but didnt gain popularity the same way. when marijuana got noticed it was associated with blacks and mexicans and was seen as a negative thing because of someone called the white man. they brainwashed people into thinking it made you crazy and stupid and able to commit murder while being high. stupid? yes. sadly some people are still brainwashed and think its bad and that its a gateway drug(i think alcohol is more of a gateway drug if you ask me). it can be to morons who are dumb enough to want to do hard drugs. but most are just content with good ol harmless maryjane. like myself. have a good day. p.s. weed does not cure cancer...it helps with the symptoms of chemotherapy. if it cured cancer then it would. but it doesnt+ just a helpful herb. bob marley died of cancer and pot didnt save him. and it doesnt hurt your lungs. ive smoked for years and dont even have a smokers cough. look into better sources,0
why is there no effort to suppress or abolish its use?,its a proven fact that marijuana is nothing more then a healthy herb that can cure many diseases including cancer there is nothing unhealthy about it besides the smoke causing lung dammage its a natural plant from the earth so why do some people have hate toards people who smoke weed but at the same time in there eyes alcohol is something ok to do when alcohol is something people shouldnt do it hurts people u can harm other people while drunk and start fights and stuff and kill people black out destroy ur liver and all this when weed does none of this and at the same time having many benefits i mean its even socially acceptable to give children occasionally on certain holidays some whine or something on christmas or thanks giving.,with alcahol+ there is a limit. well at least if your driving or whatever. but+ you can usually control yourself with alcahol more than you could with weed. weed is addictive. even though alcahol can be too+ weed is more of a feel to need it all the time.0,1
why is there no effort to suppress or abolish its use?,why do people use drugs / alcohol .?,i dont know+ but i agree with you... its not my business because i dont do that though...,1
why is there no effort to suppress or abolish its use?,why do people use drugs / alcohol .?,drugs and alcohol are the easiest methods the modern world knows of+ for having a different view of life!!! sad but true! as children you can spin around until you feel dizzy and get a different view of life. as an adult+ you use alcohol or drugs. i know a far better method+ but less common... and it is not destructive. it is called meditation. and it is a kind of meditation that actually works. feel free to email if you are interested to know more about it! all the best+2,0
help with my alcohol and marijuana problem?,is alcohol or marijuana more dangerous?,alcohol+ every time. no one has ever died from too much marijuana. many have died from too much alcohol+ either from alcohol poisoning+ or liver failure. the only way pot can kill you is if you   re stupid enough to drive or operate heavy machinery while you   re impaired+ and then it   s a car wreck or something that kills you. that type of accident can happen+ and does happen+ much more often with alcohol than with pot. people have also died from nasty things bad dealers have put in their marijuana+ but never from marijuana alone. that type of poisoning comes from    bad    alcohol+ too. since by keeping alcohol legal and regulated+ that rarely happens anymore (when was the last time you heard of someone buying black market booze?) but it can still happen with pot - which is why it should be legalized and regulated. >,0
help with my alcohol and marijuana problem?,is alcohol or marijuana more dangerous?,alcohol1,0
help with my alcohol and marijuana problem?,would you enjoy marijuana or alcohol more?,i dont like either. they are both considered drugs which can affect your brain. you should consider living on a natural high!:),1
help with my alcohol and marijuana problem?,would you enjoy marijuana or alcohol more?,i enjoy alcohol. marijuana just makes me tired.0,0
help with my alcohol and marijuana problem?,do you have any reasoned and logical arguments for keeping marijuana illegal+ rather than treating it roughly as we do alcohol (legal+ but regulated and taxed+ with legal penalties for irresponsible use)?,"legalization of marijuana would be most devastating to the us economy than the bush 8 year war mongering tyranny which saw unemployment soar and our financial and economic systems almost fail . the us has the highest rate of incarceration than any other nation including china and other totalitarian regimes . there are literally millions employed in the \prison system\"" from judges+ to defense and prosecution lawyers+ from guards at all levels to the personnel running the few thousand incarceration facilities here . we have all those employed in industries which supply goods and services to all these prisons. over 22 % of all prisoners are in jail for drug offences .their not being there would dump literally millions on unemployment .there are just too many people making their living off of jailed drug users who would/are fighting legalization . this is a logical argument for not legalizing but it is based upon a erroneous assumption that marijuana should be illegal . much more important than jobs lost if drugs were made legal is the fact i would save thousands of lives a year .the illegal drug trade has such spectacular profit that we see the slaughter everyday here and in mexico etc to protect that drug trade .with legalization and government control+ the profit motive goes as will the human slaughter .""",0
help with my alcohol and marijuana problem?,do you have any reasoned and logical arguments for keeping marijuana illegal+ rather than treating it roughly as we do alcohol (legal+ but regulated and taxed+ with legal penalties for irresponsible use)?,nope. but they will never do it because the war on drugs employees lots of government workers and spends a lot of taxpayers money. progressives love that idea. giving them the ability to tell others what to do with their own bodies gives them tingles up their leg.2,0
help with my alcohol and marijuana problem?,are marijuana and alcohol a deadly combination (just curious as i have never done marijuana and wont)?,"definitely not. marijuana does not cause any overdosing either. if someone gets alcohol poisoning and happened to have marijuana in their system it would be inconsequential. the problem with trying to really learn about marijuana from articles and such is that many pro-marijuana studies and or articles are quieted by anti-marijuana parties. heres an example: http://www.theweedblog.com/jamaican-stud    this was a thorough study on the effect of smoking while pregnant. basically the study was being funded until the funders of the study found that the results were not in their interest. most \facts\"" you read online are based on opinions and not actual findings+ because of the lack of proper studies.""",0
help with my alcohol and marijuana problem?,are marijuana and alcohol a deadly combination (just curious as i have never done marijuana and wont)?,none,0
how can i learn to enjoy things and feel happy without drugs? ,"how should i write an essay on \why i will say no to alcohol and drugs\""?""",none,0
how can i learn to enjoy things and feel happy without drugs? ,how to stop being addicted to something it is not alcohol or drugs?,its hard to give advice about a specific thing if youre not specific yourself. but its all in your will power. i dont know what kind of addiction it is+ but most of the power comes from sheer will. you just have to tell yourself not to do it. every time you get the urge+ immediately go do something else. even if its getting on the ground and doing 20 push ups or watching a short video on youtube. once the thoughts come into your head+ dont let them stay there+ get rid of them by substituting it with something else.,1
how can i learn to enjoy things and feel happy without drugs? ,how to stop being addicted to something it is not alcohol or drugs?,keep on telling yourself you don&#x27<semcol>t need this thing to live.repetition is key to everything also.for example+when people want to loose weight they repeat the cycle of excercising and dieting everyday.also+distract yourself from this addiction by replacing it with something else for a while+good luck :)0,1
how can i learn to enjoy things and feel happy without drugs? ,i thought of drugs and alcohol but i know its bad+ and im scared i might eventually do it because i remember that twice i was put to sleep because of dislocating my shoulder while playing basketball+ and the feeling i get after i wake up is just amazing+ i feel free+ not giving a crap about anything+ and just happy+ so i wish i can get this feeling back somehow+ is there a way?,none,0
how can i learn to enjoy things and feel happy without drugs? ,how do you help someone addicted to drugs and alcohol?,help them find a rehab group .,0
how can i learn to enjoy things and feel happy without drugs? ,how do you help someone addicted to drugs and alcohol?,you should give them a replacement instead of drugs. it also matters what they do. it could be hard to find some replacements for some problems.0,0
why do you (or did you) or anyone you know use drugs or alcohol?,why do i have the desire to do drugs and alcohol?,some people say its natural to want to alter your consciousness. people have drank and did drugs since the beginning of time. if i were you i would smoke weed and do nothing else. or maybe drink ever once in awhile,1
why do you (or did you) or anyone you know use drugs or alcohol?,why do i have the desire to do drugs and alcohol?,please dont try them+ it will only get worse! try getting involved in something that will make you fell better about your self like helping out at the food bank or salvation army+ there are lots of things.0,0
why do you (or did you) or anyone you know use drugs or alcohol?,why do we abuse drugs and alcohol?,none,0
why do you (or did you) or anyone you know use drugs or alcohol?,why do people use drugs / alcohol .?,i dont know+ but i agree with you... its not my business because i dont do that though...,1
why do you (or did you) or anyone you know use drugs or alcohol?,why do people use drugs / alcohol .?,drugs and alcohol are the easiest methods the modern world knows of+ for having a different view of life!!! sad but true! as children you can spin around until you feel dizzy and get a different view of life. as an adult+ you use alcohol or drugs. i know a far better method+ but less common... and it is not destructive. it is called meditation. and it is a kind of meditation that actually works. feel free to email if you are interested to know more about it! all the best+2,1
why do you (or did you) or anyone you know use drugs or alcohol?,why do people get addicted to drugs and alcohol?,"its quite a mystery. get a used copy of \under the influence\"" off of amazon - this speaks about alcoholism+ how it happens and where the disease leads. all the drunks at aa read this thing - its a great little book. a lot of people dont get addicted.... most people who drink alcohol or take drugs+ quit doing it. and ultimately most addicts quit as well as they \""mature out of\"" their addictions.""",0
why do you (or did you) or anyone you know use drugs or alcohol?,why do people get addicted to drugs and alcohol?,im guessing they like it. thats the only explanation i can think of.0,1
do you think alcohol is a way to keep society under control?,did you drink alcohol before the drinking age in your country?,no. and i havent now that ive passed it either. not my thing.,0
do you think alcohol is a way to keep society under control?,did you drink alcohol before the drinking age in your country?,no. i was a little goodie two shoes when it came to alcohol. even on my 21st birthday i didnt drink.1,0
do you think alcohol is a way to keep society under control?,do you drink alcohol or did you ever drink alcohol?,"no. i must be the only 17 year old who doesnt! its because i feel that drinking is unhealthy and i dont want to be putting toxins into my body. its also because \addictions\"" run in my family. half my family are either alcoholics or heroine addicts and the sad part about it is that they were all very intelligent people+ they were engineers and scientists and doctors and then developed substance addictions and spiraled out of control...i dont want to ever risk being like that. its also because i go to parties and see my drunk friends laying in their own vomit with their pants down and i dont want to risk being like that either!!""",0
do you think alcohol is a way to keep society under control?,do you drink alcohol or did you ever drink alcohol?,only sometimes+ it depends if im with people that are drinking.0,0
do you think alcohol is a way to keep society under control?,"do you think people can become \addicted\"" to food the same way they can be addicted to alcohol?""",not in the same way+ no. its more like an emotional crutch. it slakes an emotional need but isnt addictive in itself.,0
do you think alcohol is a way to keep society under control?,"do you think people can become \addicted\"" to food the same way they can be addicted to alcohol?""",i recently got off the food. i use meth as a natural supplement.2,0
do you think alcohol is a way to keep society under control?,if you are under 21 and drive after drinking alcohol+ can you be charged with dui or just underage drinking?,you will be charged with both of them,0
do you think alcohol is a way to keep society under control?,if you are under 21 and drive after drinking alcohol+ can you be charged with dui or just underage drinking?,both. also+ most likely loss of license. why cant you go on the dmvs website and find the answer?2,0
i was wondering+ in your opinion+ do you think the reason why alcohol is legal and other drugs which arent as harmful+ mind damaging+ and addicting like weed arent is because the government wants some people to become alcoholics so they can become victims? ,why arent drugs (such as coke+ heroin+ etc.) legal+ when alcohol is im confused...?,look up the history of prohibition.,1
i was wondering+ in your opinion+ do you think the reason why alcohol is legal and other drugs which arent as harmful+ mind damaging+ and addicting like weed arent is because the government wants some people to become alcoholics so they can become victims? ,why arent drugs (such as coke+ heroin+ etc.) legal+ when alcohol is im confused...?,alcohol is legal because it has been used in western culture for ever. your premise that all drugs are the same is seriously flaws. the addictive nature of heroin and cocaine is much higher than alcohol its not even close.3,1
i was wondering+ in your opinion+ do you think the reason why alcohol is legal and other drugs which arent as harmful+ mind damaging+ and addicting like weed arent is because the government wants some people to become alcoholics so they can become victims? ,why is it alcohol is legal but drugs are illegal?,tradition. by the time anyone thought about making liquor illegal+ drinking was an integral part of the culture of many countries. an appreciation of fine wine or aged whiskey is the mark of a sophisticate. in the west+ in the us and uk especially+ drugs are seen as coming from outside the culture. opiates are associated with fu manchu. marijuana comes from mexico.,1
i was wondering+ in your opinion+ do you think the reason why alcohol is legal and other drugs which arent as harmful+ mind damaging+ and addicting like weed arent is because the government wants some people to become alcoholics so they can become victims? ,why is it alcohol is legal but drugs are illegal?,because those that make the laws like it champagne is alcohol0,0
i was wondering+ in your opinion+ do you think the reason why alcohol is legal and other drugs which arent as harmful+ mind damaging+ and addicting like weed arent is because the government wants some people to become alcoholics so they can become victims? ,why is alcohol legal but drugs are illegal?,money+ if the people with lots of money wanted to legalize drugs they would. at one time most illegal drugs were legal and easily purchased+ and cheap. today the war on drugs is too big to ever go away or to win the war.,1
